Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Quiz 1 [Total Pts: 20 Score] |1937228,Lab 3 [Total Pts: 20 Score] |1883412,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813
20,30.375,8,4,0,0,15,17,4,4,4
20,40.375,20,4,4,4,19,17.5,4,4,4
20,40,20,4,4,4,19,20,4,4,4
20,5,16,4,0,0,12,20,0,0,0
20,39.25,14,4,4,4,18,20,4,4,4
19,39.5,16,4,4,4,19,19.5,4,4,4
0,0,14,0,0,0,0,0,0,0,0
20,36.625,14,4,3,4,17,14,0,4,0
20,28.5,14,4,4,0,17,20,0,0,0
19,40.5,16,4,4,4,19,20,4,4,4
